step,actic loss,critic loss,average distance,time
4520,-1.2753,0.8734,5.4142,0min12sec
4530,-1.2726,0.8716,5.4113,0min12sec
4540,-1.2699,0.8699,5.4084,0min12sec
4550,-1.2672,0.8682,5.4055,0min12sec
4560,-1.2646,0.8665,5.4026,0min12sec
4570,-1.2619,0.8648,5.3997,0min12sec
4580,-1.2593,0.8631,5.3968,0min12sec
4590,-1.2566,0.8614,5.3940,0min12sec
4600,-1.2540,0.8598,5.3911,0min12sec
4610,-1.2514,0.8581,5.3883,0min12sec
4620,-1.2488,0.8564,5.3854,0min12sec
4630,-1.2463,0.8548,5.3827,0min13sec
4640,-1.2436,0.8531,5.3799,0min12sec
4650,-1.2410,0.8515,5.3771,0min12sec
4660,-1.2385,0.8499,5.3743,0min12sec
4670,-1.2360,0.8482,5.3716,0min12sec
4680,-1.2335,0.8466,5.3688,0min12sec
4690,-1.2310,0.8450,5.3661,0min12sec
4700,-1.2284,0.8434,5.3634,0min12sec
4710,-1.2258,0.8418,5.3607,0min13sec
4720,-1.2234,0.8402,5.3580,0min12sec
4730,-1.2209,0.8386,5.3553,0min12sec
4740,-1.2185,0.8370,5.3526,0min12sec
4750,-1.2160,0.8354,5.3499,0min12sec
4760,-1.2135,0.8338,5.3472,0min12sec
4770,-1.2111,0.8323,5.3446,0min12sec
4780,-1.2087,0.8307,5.3419,0min11sec
4790,-1.2062,0.8292,5.3393,0min12sec
4800,-1.2038,0.8276,5.3367,0min11sec
4810,-1.2014,0.8261,5.3340,0min11sec
4820,-1.1991,0.8245,5.3315,0min12sec
4830,-1.1968,0.8231,5.3289,0min11sec
4840,-1.1943,0.8216,5.3264,0min11sec
4850,-1.1920,0.8201,5.3239,0min11sec
4860,-1.1898,0.8187,5.3214,0min11sec
4870,-1.1874,0.8172,5.3189,0min11sec
4880,-1.1851,0.8158,5.3164,0min11sec
4890,-1.1828,0.8143,5.3139,0min11sec
4900,-1.1805,0.8128,5.3114,0min11sec
4910,-1.1782,0.8114,5.3090,0min11sec
4920,-1.1760,0.8099,5.3065,0min11sec
4930,-1.1737,0.8084,5.3040,0min12sec
4940,-1.1714,0.8070,5.3015,0min11sec
4950,-1.1691,0.8055,5.2990,0min11sec
4960,-1.1669,0.8041,5.2966,0min12sec
4970,-1.1647,0.8026,5.2942,0min12sec
4980,-1.1624,0.8012,5.2918,0min12sec
4990,-1.1602,0.7997,5.2893,0min12sec
5000,-1.1580,0.7983,5.2869,0min12sec
5010,-1.1558,0.7969,5.2845,0min12sec
5020,-1.1536,0.7955,5.2821,0min12sec
5030,-1.1515,0.7941,5.2798,0min12sec
5040,-1.1494,0.7927,5.2774,0min12sec
5050,-1.1472,0.7913,5.2750,0min12sec
5060,-1.1451,0.7899,5.2727,0min12sec
5070,-1.1429,0.7885,5.2703,0min12sec
5080,-1.1408,0.7871,5.2680,0min12sec
5090,-1.1387,0.7857,5.2657,0min12sec
5100,-1.1366,0.7843,5.2634,0min12sec
5110,-1.1346,0.7830,5.2610,0min12sec
5120,-1.1325,0.7816,5.2587,0min12sec
5130,-1.1304,0.7802,5.2564,0min12sec
5140,-1.1283,0.7789,5.2541,0min12sec
5150,-1.1263,0.7775,5.2519,0min12sec
5160,-1.1242,0.7762,5.2496,0min12sec
5170,-1.1221,0.7749,5.2474,0min12sec
5180,-1.1201,0.7735,5.2451,0min12sec
5190,-1.1180,0.7722,5.2429,0min12sec
5200,-1.1160,0.7709,5.2407,0min11sec
5210,-1.1139,0.7695,5.2384,0min11sec
5220,-1.1119,0.7682,5.2362,0min11sec
5230,-1.1099,0.7669,5.2340,0min11sec
5240,-1.1079,0.7656,5.2318,0min11sec
5250,-1.1058,0.7643,5.2296,0min12sec
5260,-1.1038,0.7630,5.2275,0min12sec
5270,-1.1018,0.7617,5.2253,0min12sec
5280,-1.0999,0.7604,5.2232,0min12sec
5290,-1.0979,0.7591,5.2210,0min12sec
5300,-1.0959,0.7578,5.2188,0min12sec
5310,-1.0939,0.7565,5.2167,0min12sec
5320,-1.0920,0.7552,5.2145,0min12sec
5330,-1.0900,0.7540,5.2124,0min12sec
5340,-1.0882,0.7527,5.2103,0min12sec
5350,-1.0864,0.7515,5.2082,0min12sec
5360,-1.0844,0.7503,5.2061,0min12sec
5370,-1.0825,0.7490,5.2040,0min12sec
5380,-1.0806,0.7477,5.2018,0min12sec
5390,-1.0786,0.7465,5.1997,0min12sec
5400,-1.0768,0.7452,5.1977,0min12sec
5410,-1.0749,0.7440,5.1956,0min12sec
5420,-1.0730,0.7428,5.1935,0min12sec
5430,-1.0711,0.7415,5.1914,0min12sec
5440,-1.0693,0.7403,5.1894,0min12sec
5450,-1.0674,0.7391,5.1873,0min12sec
5460,-1.0655,0.7379,5.1853,0min12sec
5470,-1.0637,0.7367,5.1833,0min13sec
5480,-1.0619,0.7355,5.1813,0min11sec
5490,-1.0601,0.7343,5.1793,0min11sec
5500,-1.0583,0.7331,5.1773,0min12sec
5510,-1.0565,0.7319,5.1753,0min12sec
5520,-1.0546,0.7307,5.1732,0min12sec
5530,-1.0528,0.7295,5.1712,0min11sec
5540,-1.0510,0.7283,5.1692,0min11sec
5550,-1.0491,0.7271,5.1672,0min11sec
5560,-1.0473,0.7259,5.1652,0min11sec
5570,-1.0456,0.7248,5.1633,0min11sec
5580,-1.0438,0.7236,5.1613,0min11sec
5590,-1.0420,0.7224,5.1594,0min11sec
5600,-1.0402,0.7213,5.1575,0min11sec
